iter	Passed	Remaining
728	5231	1944
729	5238	1937
730	5244	1929
731	5251	1922
732	5258	1915
733	5264	1907
734	5270	1900
735	5276	1892
736	5283	1885
737	5289	1877
738	5295	1870
739	5302	1862
740	5307	1855
741	5314	1848
742	5323	1841
743	5329	1833
744	5336	1826
745	5342	1819
746	5349	1811
747	5355	1804
748	5362	1797
749	5369	1789
750	5376	1782
751	5384	1775
752	5390	1768
753	5397	1760
754	5402	1753
755	5411	1746
756	5418	1739
757	5425	1732
758	5432	1724
759	5439	1717
760	5445	1710
761	5452	1703
762	5459	1695
763	5467	1688
764	5473	1681
765	5481	1674
766	5490	1667
767	5497	1660
768	5505	1653
769	5513	1647
770	5520	1639
771	5528	1632
772	5535	1625
773	5542	1618
774	5549	1611
775	5556	1603
776	5563	1596
777	5572	1590
778	5579	1582
779	5586	1575
780	5593	1568
781	5600	1561
782	5606	1553
783	5614	1546
784	5620	1539
785	5626	1531
786	5632	1524
787	5638	1517
788	5645	1509
789	5653	1502
790	5660	1495
791	5667	1488
792	5672	1480
793	5679	1473
794	5685	1465
795	5692	1458
796	5698	1451
797	5705	1444
798	5711	1436
799	5718	1429
800	5725	1422
801	5732	1415
802	5738	1407
803	5746	1400
804	5752	1393
805	5758	1386
806	5765	1378
807	5771	1371
808	5779	1364
809	5786	1357
810	5792	1349
811	5800	1342
812	5806	1335
813	5813	1328
814	5821	1321
815	5827	1314
816	5833	1306
817	5840	1299
818	5849	1292
819	5859	1286
820	5865	1278
821	5871	1271
822	5878	1264
823	5885	1257
824	5891	1249
825	5896	1242
826	5903	1234
827	5909	1227
828	5917	1220
829	5924	1213
830	5931	1206
831	5938	1199
832	5943	1191
833	5950	1184
834	5958	1177
835	5966	1170
836	5972	1163
837	5981	1156
838	5990	1149
839	6000	1142
840	6008	1136
841	6020	1129
842	6029	1122
843	6037	1115
844	6048	1109
845	6056	1102
846	6068	1096
847	6079	1089
848	6087	1082
849	6095	1075
850	6110	1069
851	6118	1062
852	6125	1055
853	6133	1048
854	6141	1041
855	6147	1034
856	6158	1027
857	6167	1020
858	6173	1013
859	6180	1006
860	6190	999
861	6199	992
